ville,date,heure,temperature,temp_ressentie,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,conditions,visibilite,couverture_nuageuse
Paris,2025-07-03,10:15,18.76,18.6,17.85,20.16,73,1026,4.63,50,ciel dégagé,10000,0
Tokyo,2025-07-03,10:15,31.42,36.31,29.9,32.59,62,1010,9.26,200,peu nuageux,10000,20
Rio de Janeiro,2025-07-03,10:15,17.8,17.86,16.6,17.91,85,1026,2.06,230,brume,9000,100
New York,2025-07-03,10:15,23.2,23.8,21.07,24.41,85,1010,1.54,210,ciel dégagé,10000,0
Sydney,2025-07-03,10:16,16.65,15.75,15.42,17.27,53,1010,8.23,230,couvert,10000,100
